barrios,comunas,casos confirmados,Fecha actualización
AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,15,23,9-4-2020
ALMAGRO - BOEDO,5,36,9-4-2020
BALVANERA - SAN CRISTOBAL,3,16,9-4-2020
BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,4,34,9-4-2020
BELGRANO - COLEGIALES - NUÑEZ,13,18,9-4-2020
CABALLITO,6,46,9-4-2020
COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,12,4,9-4-2020
CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO,1,42,9-4-2020
FLORES - PARQUE CHACABUCO,7,10,9-4-2020
FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,10,13,9-4-2020
LINIERS - MATADEROS - PARQUE AVELLANEDA,9,23,9-4-2020
PALERMO,14,6,9-4-2020
RECOLETA,2,18,9-4-2020
VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,11,21,9-4-2020
VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,8,22,9-4-2020