Fuente: datos recolectados del Ministerio de Salud de Santa Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confeccion Planilla: Juan Francisco Quaranta,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CASOS CONFIRMADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latitud,longitud,PROVINCIA,Departamento,Localidad,,2/3/2020,3/3/2020,4/3/2020,5/3/2020,6/3/2020,7/3/2020,8/3/2020,9/3/2020,10/3/2020,11/3/2020,12/3/2020,13/3/2020,14/3/2020,15/3/2020,16/3/2020,17/3/2020,18/3/2020,19/3/2020,20/3/0202,21/3/2020,22/3/2020,23/3/2020,24/3/2020,25/3/2020,26/3/2020,27/3/2020,28/3/2020,29/3/2020,30/3/2020,31/3/2020,1/4/2020,2/4/2020,3/4/2020,4/4/2020,5/4/2020,6/4/2020,7/4/2020,8/4/2020,9/4/2020,10/4/2020,11/4/2020,12/4/2020,13/4/2020,14/4/2020,15/4/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020
-32.9609195,-60.6785453,2,SANTA FE,ROSARIO,ROSARIO,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,8,10,12,20,23,30,44,51,56,58,65,68,73,76,77,79,79,80,81,,,,,,,,,,,,,,,,,,,
-31.6327672,-60.7087649,3,SANTA FE,LA CAPITAL,SANTA FE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,8,13,17,18,18,22,22,22,22,23,23,26,26,26,27,27,27,,,,,,,,,,,,,,,,,,,
-31.2519347,-61.4944873,4,SANTA FE,CASTELLANOS,RAFAELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,5,5,9,9,10,13,13,17,18,18,18,18,18,18,18,18,19,,,,,,,,,,,,,,,,,,,
-33.2293641,-60.3393537,5,SANTA FE,CONSTITUCION,VILLA CONSTITUCIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,4,5,5,5,5,6,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,
-32.0286545,-61.2164863,6,SANTA FE,SAN JERONIMO,GÁLVEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,6,6,6,7,7,7,7,7,7,7,7,9,9,9,,,,,,,,,,,,,,,,,,,
-31.6693764,-60.7664907,7,SANTA FE,LA CAPITAL,SANTO TOMÉ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,
-33.7501705,-61.9759004,8,SANTA FE,General Lopez,VENADO TUERTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,,,,,,,,,,,,,,,,,,,
-32.9048207,-60.8953048,9,SANTA FE,SAN LORENZO,ROLDAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,
-31.1842757,-60.7477584,10,SANTA FE,LA CAPITAL,LLAMBI CAMPBELL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
-32.9192677,-60.8140882,11,SANTA FE,ROSARIO,FUNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3,3,3,4,,,,,,,,,,,,,,,,,,,
-32.780253,-61.6104066,12,SANTA FE,BELGRANO,ARMSTRONG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
-33.0465628,-61.1750601,13,SANTA FE,CASEROS,CASILDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
-31.1009307,-60.0955568,14,SANTA FE,GARAY,HELVECIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
-33.6987726,-61.6205348,15,SANTA FE,General Lopez,ELORTONDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,4,4,4,,,,,,,,,,,,,,,,,,,
-32.6693418,-60.8744351,16,SANTA FE,IRIONDO,PUEBLO ANDINO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
-33.1548014,-60.5168353,17,SANTA FE,ROSARIO,ARROYO SECO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
-33.0246396,-60.6353426,18,SANTA FE,ROSARIO,VILLA GOBERNADOR GÁLVEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
-33.0167779,-61.0445345,19,SANTA FE,SAN LORENZO,PUJATO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
-32.6846687,-61.5322834,20,SANTA FE,BELGRANO,LAS PAREJAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-32.4777511,-61.5822871,21,SANTA FE,BELGRANO,LAS ROSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-33.2444941,-61.3642316,22,SANTA FE,CASEROS,CHABÁS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-33.4574332,-61.4928343,23,SANTA FE,General Lopez,FIRMAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-32.815403,-61.3941312,24,SANTA FE,IRIONDO,CAÑADA DE GOMEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-31.6001372,-60.5873815,25,SANTA FE,LA CAPITAL,SAN JOSE DEL RINCÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-31.7705473,-60.8392221,26,SANTA FE,LA CAPITAL,SAUCE VIEJO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-31.4485752,-60.9312205,27,SANTA FE,LAS COLONIAS,ESPERANZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-31.5852898,-60.9427506,28,SANTA FE,LAS COLONIAS,FRANCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-31.398957,-61.0835591,29,SANTA FE,LAS COLONIAS,HUMBOLDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-31.7509269,-61.1084008,30,SANTA FE,LAS COLONIAS,SAN CARLOS SUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-32.8547448,-60.7067372,31,SANTA FE,ROSARIO,GRANADERO BAIGORRIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-30.5768891,-59.9350081,32,SANTA FE,SAN JAVIER,SAN JAVIER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-32.369703,-61.3608171,33,SANTA FE,SAN JERONIMO,SAN GENARO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-32.7474428,-60.73733,34,SANTA FE,SAN LORENZO,SAN LORENZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-29.459136,-60.2130506,35,SANTA FE,VERA,VERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
-32.5747832,-60.8534469,36,SANTA FE,OLIVEROS,OLIVEROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CASOS CONFIRMADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,